List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,100.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,54.3%,48.6%
r4,20.0%,10.0%
r33,0.0%,100.0%
r12,3.3%,40.0%
r13,2.9%,48.6%
r6,0.0%,0.0%
r29,86.5%,13.5%
r3,6.7%,80.0%
r24,7.5%,5.0%
r32,100.0%,100.0%
r16,76.7%,76.7%
r28,57.8%,57.8%
r25,36.7%,33.3%
r23,0.0%,16.7%
r18,6.7%,23.3%
r11,13.3%,6.7%
r27,96.0%,96.0%
r5,27.5%,55.0%
r17,0.0%,23.3%
r19,0.0%,0.0%
r8,86.7%,0.0%
r1,0.0%,16.7%
r30,0.0%,13.3%
r22,0.0%,0.0%
r26,40.0%,26.7%
r9,50.0%,0.0%
r14,66.7%,64.4%
r2,27.5%,25.0%
r20,85.0%,20.0%
r15,30.0%,13.3%
Total,36.4%,32.3%
