List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,0.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,60.0%,57.1%
r4,20.0%,10.0%
r33,100.0%,0.0%
r12,36.7%,6.7%
r13,37.1%,34.3%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,80.0%,6.7%
r24,5.0%,5.0%
r32,100.0%,100.0%
r16,10.0%,0.0%
r28,42.2%,24.4%
r25,10.0%,43.3%
r23,0.0%,5.6%
r18,10.0%,10.0%
r11,15.6%,2.2%
r27,0.0%,0.0%
r5,0.0%,7.5%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,93.3%,96.7%
r1,0.0%,56.7%
r30,13.3%,3.3%
r22,2.4%,16.7%
r26,20.0%,13.3%
r9,0.0%,0.0%
r14,57.8%,2.2%
r2,25.0%,0.0%
r20,22.5%,22.5%
r15,26.7%,0.0%
Total,31.0%,21.1%
