List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,76.7%,76.7%
r10,0.0%,40.0%
r21,75.0%,0.0%
r34,37.1%,20.0%
r4,20.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,8.6%
r6,71.4%,94.3%
r29,32.7%,36.5%
r3,6.7%,13.3%
r24,7.5%,15.0%
r32,96.7%,0.0%
r16,40.0%,36.7%
r28,42.2%,24.4%
r25,3.3%,83.3%
r23,5.6%,0.0%
r18,20.0%,23.3%
r11,48.9%,48.9%
r27,4.0%,4.0%
r5,2.5%,42.5%
r17,6.7%,20.0%
r19,0.0%,0.0%
r8,80.0%,3.3%
r1,70.0%,70.0%
r30,3.3%,20.0%
r22,2.4%,4.8%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,15.6%,35.6%
r2,12.5%,30.0%
r20,47.5%,47.5%
r15,66.7%,70.0%
Total,33.0%,37.3%
