List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,73.3%,73.3%
r10,20.0%,20.0%
r21,0.0%,0.0%
r34,68.6%,22.9%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,54.3%,100.0%
r6,51.4%,51.4%
r29,42.3%,86.5%
r3,20.0%,13.3%
r24,7.5%,15.0%
r32,100.0%,0.0%
r16,23.3%,20.0%
r28,42.2%,42.2%
r25,80.0%,80.0%
r23,22.2%,5.6%
r18,20.0%,30.0%
r11,22.2%,42.2%
r27,96.0%,96.0%
r5,5.0%,5.0%
r17,3.3%,16.7%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,0.0%,76.7%
r30,46.7%,23.3%
r22,2.4%,2.4%
r26,0.0%,40.0%
r9,95.5%,0.0%
r14,17.8%,53.3%
r2,62.5%,32.5%
r20,72.5%,20.0%
r15,0.0%,0.0%
Total,38.6%,40.2%
