List,gaussian_mixture,kmeans
r31,50.0%,33.3%
r7,0.0%,0.0%
r10,40.0%,0.0%
r21,25.0%,25.0%
r34,57.1%,57.1%
r4,0.0%,10.0%
r33,100.0%,0.0%
r12,13.3%,6.7%
r13,42.9%,2.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,0.0%
r24,5.0%,27.5%
r32,100.0%,100.0%
r16,0.0%,76.7%
r28,24.4%,24.4%
r25,43.3%,20.0%
r23,0.0%,0.0%
r18,13.3%,20.0%
r11,6.7%,15.6%
r27,96.0%,96.0%
r5,5.0%,25.0%
r17,0.0%,3.3%
r19,100.0%,0.0%
r8,96.7%,0.0%
r1,16.7%,73.3%
r30,20.0%,6.7%
r22,9.5%,9.5%
r26,13.3%,13.3%
r9,9.1%,0.0%
r14,51.1%,53.3%
r2,40.0%,42.5%
r20,12.5%,10.0%
r15,0.0%,0.0%
Total,32.0%,27.3%
