List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,0.0%,0.0%
r10,40.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,0.0%
r4,0.0%,20.0%
r33,0.0%,100.0%
r12,36.7%,36.7%
r13,42.9%,45.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,7.5%,17.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,24.4%,75.6%
r25,10.0%,3.3%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,13.3%,20.0%
r27,96.0%,96.0%
r5,5.0%,2.5%
r17,6.7%,3.3%
r19,0.0%,100.0%
r8,93.3%,93.3%
r1,0.0%,0.0%
r30,13.3%,13.3%
r22,2.4%,2.4%
r26,13.3%,33.3%
r9,0.0%,0.0%
r14,57.8%,60.0%
r2,47.5%,20.0%
r20,30.0%,45.0%
r15,0.0%,0.0%
Total,28.1%,34.0%
