List,gaussian_mixture,kmeans
r31,16.7%,16.7%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,75.0%
r34,57.1%,57.1%
r4,0.0%,0.0%
r33,100.0%,0.0%
r12,36.7%,40.0%
r13,45.7%,2.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,5.0%,5.0%
r32,0.0%,0.0%
r16,0.0%,0.0%
r28,42.2%,24.4%
r25,13.3%,56.7%
r23,0.0%,0.0%
r18,30.0%,10.0%
r11,4.4%,8.9%
r27,0.0%,0.0%
r5,62.5%,0.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,0.0%,93.3%
r1,70.0%,70.0%
r30,6.7%,13.3%
r22,2.4%,0.0%
r26,33.3%,13.3%
r9,0.0%,13.6%
r14,0.0%,62.2%
r2,47.5%,20.0%
r20,47.5%,20.0%
r15,0.0%,26.7%
Total,26.5%,24.0%
