List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,100.0%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,2.9%,11.4%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,26.7%,26.7%
r13,94.3%,94.3%
r6,37.1%,97.1%
r29,100.0%,100.0%
r3,0.0%,6.7%
r24,17.5%,2.5%
r32,0.0%,0.0%
r16,33.3%,46.7%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,16.7%,5.6%
r18,6.7%,20.0%
r11,2.2%,73.3%
r27,96.0%,96.0%
r5,55.0%,55.0%
r17,10.0%,10.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,96.7%,96.7%
r30,23.3%,3.3%
r22,21.4%,9.5%
r26,40.0%,60.0%
r9,0.0%,100.0%
r14,35.6%,6.7%
r2,95.0%,62.5%
r20,20.0%,20.0%
r15,93.3%,93.3%
Total,44.6%,47.0%
