List,gaussian_mixture,kmeans
r31,66.7%,33.3%
r7,73.3%,26.7%
r10,20.0%,0.0%
r21,100.0%,100.0%
r34,48.6%,68.6%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,10.0%
r13,45.7%,48.6%
r6,45.7%,60.0%
r29,38.5%,42.3%
r3,6.7%,6.7%
r24,17.5%,15.0%
r32,100.0%,100.0%
r16,40.0%,36.7%
r28,24.4%,42.2%
r25,80.0%,80.0%
r23,5.6%,11.1%
r18,26.7%,13.3%
r11,22.2%,48.9%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,10.0%,16.7%
r19,0.0%,0.0%
r8,80.0%,0.0%
r1,0.0%,70.0%
r30,26.7%,26.7%
r22,2.4%,4.8%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,40.0%,40.0%
r2,42.5%,45.0%
r20,20.0%,20.0%
r15,86.7%,0.0%
Total,40.8%,39.5%
