List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,73.3%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,62.9%,22.9%
r4,20.0%,10.0%
r33,100.0%,0.0%
r12,0.0%,40.0%
r13,94.3%,40.0%
r6,2.9%,40.0%
r29,13.5%,90.4%
r3,13.3%,13.3%
r24,2.5%,10.0%
r32,96.7%,96.7%
r16,6.7%,53.3%
r28,33.3%,33.3%
r25,80.0%,76.7%
r23,22.2%,0.0%
r18,10.0%,3.3%
r11,73.3%,20.0%
r27,96.0%,0.0%
r5,15.0%,10.0%
r17,0.0%,3.3%
r19,0.0%,0.0%
r8,36.7%,80.0%
r1,20.0%,0.0%
r30,30.0%,20.0%
r22,4.8%,4.8%
r26,0.0%,100.0%
r9,95.5%,95.5%
r14,13.3%,17.8%
r2,95.0%,0.0%
r20,70.0%,72.5%
r15,40.0%,83.3%
Total,38.4%,35.4%
