List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,28.6%,57.1%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,40.0%,40.0%
r13,22.9%,11.4%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,6.7%,6.7%
r24,5.0%,7.5%
r32,100.0%,100.0%
r16,0.0%,66.7%
r28,75.6%,24.4%
r25,20.0%,6.7%
r23,5.6%,16.7%
r18,3.3%,3.3%
r11,28.9%,2.2%
r27,96.0%,0.0%
r5,32.5%,7.5%
r17,3.3%,6.7%
r19,0.0%,100.0%
r8,93.3%,83.3%
r1,70.0%,70.0%
r30,10.0%,33.3%
r22,9.5%,4.8%
r26,0.0%,0.0%
r9,27.3%,0.0%
r14,37.8%,37.8%
r2,27.5%,45.0%
r20,42.5%,52.5%
r15,26.7%,0.0%
Total,31.5%,32.7%
