List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,73.3%,26.7%
r10,0.0%,40.0%
r21,100.0%,0.0%
r34,62.9%,22.9%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,94.3%,40.0%
r6,37.1%,51.4%
r29,98.1%,0.0%
r3,6.7%,6.7%
r24,17.5%,2.5%
r32,100.0%,96.7%
r16,6.7%,6.7%
r28,33.3%,33.3%
r25,66.7%,76.7%
r23,5.6%,5.6%
r18,3.3%,6.7%
r11,20.0%,73.3%
r27,4.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,3.3%
r19,100.0%,0.0%
r8,80.0%,43.3%
r1,0.0%,20.0%
r30,3.3%,23.3%
r22,4.8%,4.8%
r26,0.0%,0.0%
r9,81.8%,95.5%
r14,13.3%,13.3%
r2,35.0%,35.0%
r20,20.0%,0.0%
r15,3.3%,76.7%
Total,37.5%,33.2%
