List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,20.0%,20.0%
r21,0.0%,0.0%
r34,34.3%,5.7%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,40.0%
r6,42.9%,71.4%
r29,32.7%,36.5%
r3,0.0%,6.7%
r24,15.0%,7.5%
r32,0.0%,96.7%
r16,40.0%,36.7%
r28,75.6%,24.4%
r25,83.3%,6.7%
r23,22.2%,11.1%
r18,20.0%,20.0%
r11,20.0%,24.4%
r27,4.0%,96.0%
r5,20.0%,25.0%
r17,3.3%,10.0%
r19,0.0%,0.0%
r8,80.0%,0.0%
r1,70.0%,70.0%
r30,3.3%,23.3%
r22,2.4%,2.4%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,22.2%,31.1%
r2,45.0%,45.0%
r20,47.5%,47.5%
r15,66.7%,0.0%
Total,35.7%,35.5%
