List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,37.1%,37.1%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,73.3%,80.0%
r24,35.0%,37.5%
r32,100.0%,100.0%
r16,0.0%,10.0%
r28,24.4%,24.4%
r25,26.7%,30.0%
r23,0.0%,0.0%
r18,20.0%,23.3%
r11,17.8%,8.9%
r27,96.0%,96.0%
r5,22.5%,5.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,93.3%,93.3%
r1,70.0%,16.7%
r30,13.3%,33.3%
r22,2.4%,2.4%
r26,20.0%,20.0%
r9,0.0%,0.0%
r14,51.1%,26.7%
r2,47.5%,2.5%
r20,17.5%,67.5%
r15,0.0%,0.0%
Total,34.0%,36.7%
