List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,100.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,31.4%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,13.3%,43.3%
r13,42.9%,37.1%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,6.7%,73.3%
r24,10.0%,7.5%
r32,100.0%,100.0%
r16,0.0%,3.3%
r28,24.4%,42.2%
r25,36.7%,30.0%
r23,0.0%,0.0%
r18,20.0%,10.0%
r11,6.7%,11.1%
r27,96.0%,96.0%
r5,7.5%,50.0%
r17,6.7%,6.7%
r19,100.0%,0.0%
r8,96.7%,96.7%
r1,16.7%,60.0%
r30,33.3%,3.3%
r22,2.4%,9.5%
r26,20.0%,6.7%
r9,9.1%,0.0%
r14,53.3%,64.4%
r2,40.0%,0.0%
r20,20.0%,35.0%
r15,0.0%,26.7%
Total,32.9%,34.3%
