List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,0.0%,100.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,60.0%
r4,0.0%,10.0%
r33,0.0%,0.0%
r12,36.7%,6.7%
r13,8.6%,40.0%
r6,97.1%,0.0%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,5.0%,5.0%
r32,100.0%,100.0%
r16,0.0%,43.3%
r28,24.4%,0.0%
r25,20.0%,6.7%
r23,0.0%,0.0%
r18,23.3%,10.0%
r11,22.2%,13.3%
r27,100.0%,96.0%
r5,27.5%,27.5%
r17,3.3%,60.0%
r19,0.0%,0.0%
r8,93.3%,0.0%
r1,0.0%,73.3%
r30,43.3%,33.3%
r22,2.4%,9.5%
r26,20.0%,13.3%
r9,13.6%,0.0%
r14,62.2%,24.4%
r2,47.5%,17.5%
r20,12.5%,40.0%
r15,0.0%,0.0%
Total,29.3%,30.9%
