List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,100.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,2.9%,11.4%
r4,20.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,48.6%,45.7%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,30.0%,2.5%
r32,0.0%,0.0%
r16,76.7%,76.7%
r28,57.8%,57.8%
r25,10.0%,13.3%
r23,0.0%,0.0%
r18,23.3%,3.3%
r11,11.1%,6.7%
r27,100.0%,100.0%
r5,27.5%,27.5%
r17,6.7%,0.0%
r19,100.0%,0.0%
r8,0.0%,0.0%
r1,0.0%,73.3%
r30,0.0%,30.0%
r22,2.4%,16.7%
r26,6.7%,0.0%
r9,31.8%,27.3%
r14,62.2%,0.0%
r2,15.0%,2.5%
r20,72.5%,60.0%
r15,30.0%,30.0%
Total,32.9%,33.2%
