List,gaussian_mixture,kmeans
r31,33.3%,50.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,10.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,25.7%,17.1%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,80.0%
r24,5.0%,2.5%
r32,0.0%,100.0%
r16,0.0%,0.0%
r28,75.6%,75.6%
r25,46.7%,6.7%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,20.0%,17.8%
r27,96.0%,0.0%
r5,2.5%,0.0%
r17,0.0%,6.7%
r19,100.0%,0.0%
r8,93.3%,90.0%
r1,60.0%,0.0%
r30,3.3%,13.3%
r22,9.5%,23.8%
r26,6.7%,0.0%
r9,0.0%,31.8%
r14,53.3%,53.3%
r2,25.0%,47.5%
r20,30.0%,10.0%
r15,26.7%,0.0%
Total,30.8%,30.8%
