List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,0.0%,57.1%
r4,0.0%,10.0%
r33,0.0%,0.0%
r12,13.3%,36.7%
r13,37.1%,2.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,32.5%
r32,100.0%,100.0%
r16,83.3%,0.0%
r28,24.4%,75.6%
r25,10.0%,10.0%
r23,0.0%,0.0%
r18,13.3%,10.0%
r11,24.4%,13.3%
r27,96.0%,0.0%
r5,25.0%,25.0%
r17,0.0%,6.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,53.3%,0.0%
r30,13.3%,3.3%
r22,0.0%,2.4%
r26,0.0%,6.7%
r9,22.7%,0.0%
r14,44.4%,20.0%
r2,50.0%,20.0%
r20,42.5%,20.0%
r15,26.7%,26.7%
Total,28.1%,23.1%
