List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,0.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,0.0%
r33,100.0%,0.0%
r12,43.3%,3.3%
r13,2.9%,48.6%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,73.3%
r24,5.0%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,24.4%,24.4%
r25,13.3%,3.3%
r23,11.1%,0.0%
r18,20.0%,16.7%
r11,33.3%,15.6%
r27,96.0%,96.0%
r5,62.5%,0.0%
r17,6.7%,3.3%
r19,0.0%,0.0%
r8,93.3%,93.3%
r1,30.0%,20.0%
r30,6.7%,33.3%
r22,7.1%,0.0%
r26,6.7%,13.3%
r9,0.0%,0.0%
r14,64.4%,64.4%
r2,27.5%,42.5%
r20,22.5%,22.5%
r15,0.0%,0.0%
Total,32.6%,27.7%
