List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,0.0%,100.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,60.0%
r4,10.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,10.0%
r13,40.0%,48.6%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,10.0%,5.0%
r32,100.0%,100.0%
r16,6.7%,3.3%
r28,57.8%,42.2%
r25,13.3%,10.0%
r23,0.0%,0.0%
r18,6.7%,6.7%
r11,20.0%,15.6%
r27,100.0%,100.0%
r5,27.5%,27.5%
r17,0.0%,10.0%
r19,100.0%,100.0%
r8,93.3%,83.3%
r1,0.0%,0.0%
r30,0.0%,13.3%
r22,11.9%,2.4%
r26,0.0%,6.7%
r9,0.0%,4.5%
r14,64.4%,55.6%
r2,17.5%,0.0%
r20,25.0%,52.5%
r15,0.0%,26.7%
Total,32.3%,29.6%
