List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,0.0%,0.0%
r10,60.0%,20.0%
r21,75.0%,25.0%
r34,0.0%,57.1%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,36.7%,3.3%
r13,37.1%,8.6%
r6,97.1%,97.1%
r29,86.5%,13.5%
r3,6.7%,73.3%
r24,5.0%,5.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,75.6%
r25,60.0%,43.3%
r23,0.0%,16.7%
r18,20.0%,20.0%
r11,15.6%,20.0%
r27,96.0%,96.0%
r5,5.0%,2.5%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,0.0%,93.3%
r1,66.7%,73.3%
r30,26.7%,13.3%
r22,2.4%,0.0%
r26,13.3%,13.3%
r9,0.0%,0.0%
r14,64.4%,8.9%
r2,27.5%,2.5%
r20,25.0%,47.5%
r15,20.0%,0.0%
Total,35.7%,31.9%
