List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,60.0%,60.0%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,36.7%,36.7%
r13,34.3%,31.4%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,80.0%
r24,5.0%,2.5%
r32,100.0%,100.0%
r16,10.0%,3.3%
r28,24.4%,24.4%
r25,36.7%,26.7%
r23,0.0%,0.0%
r18,6.7%,3.3%
r11,13.3%,17.8%
r27,96.0%,96.0%
r5,2.5%,27.5%
r17,3.3%,3.3%
r19,100.0%,100.0%
r8,83.3%,93.3%
r1,0.0%,0.0%
r30,43.3%,6.7%
r22,9.5%,2.4%
r26,26.7%,6.7%
r9,27.3%,0.0%
r14,57.8%,51.1%
r2,0.0%,15.0%
r20,12.5%,25.0%
r15,26.7%,0.0%
Total,32.2%,31.9%
