List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,0.0%,100.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,48.6%,57.1%
r4,60.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,37.1%,11.4%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,7.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,24.4%
r25,46.7%,20.0%
r23,0.0%,5.6%
r18,23.3%,26.7%
r11,20.0%,11.1%
r27,96.0%,0.0%
r5,0.0%,0.0%
r17,0.0%,3.3%
r19,100.0%,0.0%
r8,0.0%,83.3%
r1,50.0%,30.0%
r30,13.3%,10.0%
r22,16.7%,21.4%
r26,20.0%,0.0%
r9,27.3%,0.0%
r14,35.6%,60.0%
r2,17.5%,47.5%
r20,47.5%,22.5%
r15,16.7%,0.0%
Total,33.5%,25.2%
