List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,76.7%,76.7%
r10,40.0%,20.0%
r21,75.0%,25.0%
r34,28.6%,11.4%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,10.0%
r13,40.0%,45.7%
r6,0.0%,71.4%
r29,36.5%,38.5%
r3,6.7%,6.7%
r24,17.5%,17.5%
r32,96.7%,96.7%
r16,36.7%,33.3%
r28,33.3%,33.3%
r25,83.3%,83.3%
r23,11.1%,11.1%
r18,10.0%,6.7%
r11,31.1%,22.2%
r27,100.0%,96.0%
r5,40.0%,40.0%
r17,26.7%,6.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,6.7%,3.3%
r22,0.0%,2.4%
r26,0.0%,0.0%
r9,100.0%,0.0%
r14,20.0%,8.9%
r2,45.0%,25.0%
r20,47.5%,47.5%
r15,33.3%,46.7%
Total,40.5%,36.8%
