List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,76.7%,76.7%
r10,20.0%,20.0%
r21,0.0%,25.0%
r34,11.4%,14.3%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,10.0%
r13,51.4%,51.4%
r6,51.4%,91.4%
r29,76.9%,40.4%
r3,20.0%,6.7%
r24,5.0%,17.5%
r32,96.7%,96.7%
r16,23.3%,36.7%
r28,33.3%,42.2%
r25,83.3%,83.3%
r23,11.1%,16.7%
r18,23.3%,23.3%
r11,31.1%,31.1%
r27,100.0%,96.0%
r5,42.5%,42.5%
r17,23.3%,26.7%
r19,0.0%,0.0%
r8,3.3%,6.7%
r1,3.3%,70.0%
r30,10.0%,23.3%
r22,4.8%,4.8%
r26,60.0%,60.0%
r9,0.0%,0.0%
r14,33.3%,35.6%
r2,30.0%,42.5%
r20,75.0%,27.5%
r15,43.3%,10.0%
Total,38.1%,39.6%
