List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,100.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,0.0%,36.7%
r13,45.7%,8.6%
r6,0.0%,97.1%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,20.0%,30.0%
r32,100.0%,100.0%
r16,33.3%,10.0%
r28,0.0%,33.3%
r25,20.0%,10.0%
r23,0.0%,0.0%
r18,23.3%,6.7%
r11,8.9%,6.7%
r27,96.0%,96.0%
r5,35.0%,0.0%
r17,10.0%,0.0%
r19,100.0%,100.0%
r8,0.0%,93.3%
r1,0.0%,73.3%
r30,10.0%,6.7%
r22,2.4%,11.9%
r26,0.0%,13.3%
r9,18.2%,0.0%
r14,60.0%,64.4%
r2,50.0%,17.5%
r20,50.0%,47.5%
r15,13.3%,0.0%
Total,28.1%,38.3%
