List,gaussian_mixture,kmeans
r31,66.7%,83.3%
r7,0.0%,0.0%
r10,40.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,3.3%,3.3%
r13,45.7%,51.4%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,7.5%
r32,100.0%,100.0%
r16,13.3%,3.3%
r28,24.4%,24.4%
r25,6.7%,13.3%
r23,0.0%,0.0%
r18,10.0%,16.7%
r11,17.8%,13.3%
r27,96.0%,96.0%
r5,7.5%,0.0%
r17,3.3%,3.3%
r19,0.0%,100.0%
r8,93.3%,93.3%
r1,0.0%,70.0%
r30,43.3%,43.3%
r22,0.0%,9.5%
r26,0.0%,6.7%
r9,0.0%,0.0%
r14,60.0%,0.0%
r2,47.5%,27.5%
r20,42.5%,22.5%
r15,26.7%,0.0%
Total,29.4%,28.6%
