List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,76.7%,26.7%
r10,20.0%,20.0%
r21,0.0%,100.0%
r34,31.4%,40.0%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,16.7%
r13,40.0%,45.7%
r6,91.4%,40.0%
r29,46.2%,32.7%
r3,6.7%,6.7%
r24,7.5%,17.5%
r32,96.7%,96.7%
r16,33.3%,30.0%
r28,75.6%,33.3%
r25,80.0%,80.0%
r23,11.1%,22.2%
r18,3.3%,20.0%
r11,22.2%,31.1%
r27,4.0%,96.0%
r5,42.5%,42.5%
r17,16.7%,16.7%
r19,100.0%,0.0%
r8,0.0%,3.3%
r1,70.0%,70.0%
r30,23.3%,3.3%
r22,2.4%,9.5%
r26,40.0%,60.0%
r9,0.0%,0.0%
r14,22.2%,11.1%
r2,52.5%,42.5%
r20,50.0%,50.0%
r15,83.3%,83.3%
Total,41.9%,38.0%
