List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,100.0%,0.0%
r10,40.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,60.0%
r4,10.0%,0.0%
r33,0.0%,100.0%
r12,36.7%,33.3%
r13,42.9%,8.6%
r6,0.0%,97.1%
r29,13.5%,86.5%
r3,0.0%,73.3%
r24,5.0%,7.5%
r32,100.0%,100.0%
r16,0.0%,73.3%
r28,0.0%,57.8%
r25,26.7%,10.0%
r23,16.7%,0.0%
r18,3.3%,30.0%
r11,2.2%,8.9%
r27,100.0%,100.0%
r5,25.0%,25.0%
r17,3.3%,0.0%
r19,0.0%,100.0%
r8,90.0%,0.0%
r1,73.3%,73.3%
r30,40.0%,0.0%
r22,0.0%,2.4%
r26,20.0%,6.7%
r9,0.0%,36.4%
r14,51.1%,46.7%
r2,20.0%,22.5%
r20,7.5%,0.0%
r15,26.7%,26.7%
Total,25.6%,38.1%
