List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,73.3%
r10,0.0%,60.0%
r21,0.0%,0.0%
r34,5.7%,60.0%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,3.3%,10.0%
r13,54.3%,54.3%
r6,51.4%,37.1%
r29,0.0%,100.0%
r3,13.3%,13.3%
r24,5.0%,32.5%
r32,96.7%,100.0%
r16,3.3%,0.0%
r28,42.2%,42.2%
r25,80.0%,70.0%
r23,5.6%,22.2%
r18,26.7%,20.0%
r11,73.3%,73.3%
r27,96.0%,0.0%
r5,10.0%,25.0%
r17,36.7%,0.0%
r19,0.0%,0.0%
r8,80.0%,43.3%
r1,93.3%,0.0%
r30,23.3%,6.7%
r22,4.8%,2.4%
r26,0.0%,0.0%
r9,95.5%,95.5%
r14,8.9%,8.9%
r2,95.0%,0.0%
r20,0.0%,72.5%
r15,6.7%,30.0%
Total,33.3%,38.6%
