List,gaussian_mixture,kmeans
r31,66.7%,50.0%
r7,100.0%,0.0%
r10,20.0%,20.0%
r21,0.0%,0.0%
r34,54.3%,0.0%
r4,0.0%,10.0%
r33,0.0%,100.0%
r12,33.3%,0.0%
r13,14.3%,22.9%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,5.0%,12.5%
r32,100.0%,100.0%
r16,0.0%,3.3%
r28,57.8%,24.4%
r25,26.7%,13.3%
r23,16.7%,0.0%
r18,23.3%,23.3%
r11,8.9%,13.3%
r27,100.0%,100.0%
r5,27.5%,27.5%
r17,3.3%,0.0%
r19,100.0%,100.0%
r8,93.3%,93.3%
r1,73.3%,0.0%
r30,40.0%,23.3%
r22,2.4%,2.4%
r26,20.0%,13.3%
r9,0.0%,31.8%
r14,64.4%,0.0%
r2,20.0%,0.0%
r20,22.5%,40.0%
r15,0.0%,0.0%
Total,33.3%,27.8%
