List,gaussian_mixture,kmeans
r31,16.7%,66.7%
r7,100.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,54.3%,48.6%
r4,0.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,40.0%,8.6%
r6,0.0%,97.1%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,17.5%,2.5%
r32,100.0%,100.0%
r16,76.7%,76.7%
r28,24.4%,75.6%
r25,26.7%,16.7%
r23,0.0%,0.0%
r18,10.0%,30.0%
r11,6.7%,4.4%
r27,100.0%,100.0%
r5,27.5%,27.5%
r17,0.0%,0.0%
r19,100.0%,100.0%
r8,0.0%,83.3%
r1,0.0%,66.7%
r30,43.3%,13.3%
r22,2.4%,4.8%
r26,6.7%,20.0%
r9,0.0%,27.3%
r14,64.4%,64.4%
r2,47.5%,47.5%
r20,12.5%,47.5%
r15,0.0%,0.0%
Total,33.5%,41.1%
