List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,37.1%,17.1%
r4,0.0%,0.0%
r33,100.0%,0.0%
r12,6.7%,40.0%
r13,40.0%,14.3%
r6,94.3%,91.4%
r29,46.2%,13.5%
r3,20.0%,20.0%
r24,5.0%,7.5%
r32,96.7%,96.7%
r16,23.3%,40.0%
r28,75.6%,24.4%
r25,80.0%,80.0%
r23,0.0%,0.0%
r18,3.3%,20.0%
r11,20.0%,31.1%
r27,96.0%,96.0%
r5,20.0%,25.0%
r17,23.3%,23.3%
r19,100.0%,0.0%
r8,0.0%,0.0%
r1,60.0%,60.0%
r30,33.3%,6.7%
r22,0.0%,2.4%
r26,60.0%,60.0%
r9,54.5%,68.2%
r14,37.8%,37.8%
r2,25.0%,0.0%
r20,0.0%,0.0%
r15,43.3%,36.7%
Total,39.8%,30.2%
