List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,0.0%,100.0%
r10,20.0%,40.0%
r21,75.0%,25.0%
r34,60.0%,60.0%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,36.7%,3.3%
r13,11.4%,40.0%
r6,97.1%,2.9%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,17.5%,2.5%
r32,100.0%,0.0%
r16,0.0%,80.0%
r28,33.3%,33.3%
r25,26.7%,26.7%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,15.6%,20.0%
r27,100.0%,96.0%
r5,5.0%,0.0%
r17,20.0%,0.0%
r19,0.0%,100.0%
r8,96.7%,0.0%
r1,3.3%,6.7%
r30,40.0%,13.3%
r22,7.1%,2.4%
r26,13.3%,20.0%
r9,0.0%,0.0%
r14,66.7%,64.4%
r2,15.0%,22.5%
r20,35.0%,15.0%
r15,0.0%,20.0%
Total,33.4%,29.1%
