List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,100.0%
r10,20.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,36.7%,36.7%
r13,5.7%,37.1%
r6,97.1%,0.0%
r29,86.5%,13.5%
r3,80.0%,80.0%
r24,2.5%,15.0%
r32,100.0%,100.0%
r16,0.0%,3.3%
r28,33.3%,75.6%
r25,20.0%,3.3%
r23,5.6%,0.0%
r18,13.3%,20.0%
r11,4.4%,6.7%
r27,100.0%,96.0%
r5,7.5%,5.0%
r17,20.0%,0.0%
r19,0.0%,0.0%
r8,93.3%,93.3%
r1,70.0%,0.0%
r30,43.3%,36.7%
r22,0.0%,14.3%
r26,0.0%,20.0%
r9,0.0%,9.1%
r14,66.7%,60.0%
r2,0.0%,47.5%
r20,27.5%,37.5%
r15,0.0%,26.7%
Total,32.5%,35.9%
