List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,40.0%,20.0%
r21,0.0%,100.0%
r34,54.3%,5.7%
r4,20.0%,20.0%
r33,100.0%,100.0%
r12,3.3%,3.3%
r13,100.0%,54.3%
r6,42.9%,40.0%
r29,50.0%,40.4%
r3,6.7%,20.0%
r24,10.0%,15.0%
r32,96.7%,96.7%
r16,13.3%,30.0%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,6.7%,13.3%
r11,24.4%,24.4%
r27,0.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,16.7%,23.3%
r22,4.8%,7.1%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,31.1%,55.6%
r2,52.5%,52.5%
r20,72.5%,20.0%
r15,86.7%,80.0%
Total,42.9%,42.3%
