List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,0.0%,0.0%
r33,85.7%,100.0%
r12,6.7%,40.0%
r13,37.1%,40.0%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,80.0%,73.3%
r24,22.5%,25.0%
r32,100.0%,100.0%
r16,46.7%,0.0%
r28,24.4%,0.0%
r25,30.0%,36.7%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,2.2%,13.3%
r27,96.0%,96.0%
r5,25.0%,27.5%
r17,0.0%,0.0%
r19,0.0%,94.1%
r8,86.7%,93.3%
r1,0.0%,6.7%
r30,33.3%,13.3%
r22,4.8%,2.4%
r26,6.7%,0.0%
r9,22.7%,0.0%
r14,42.2%,44.4%
r2,5.0%,47.5%
r20,42.5%,40.0%
r15,26.7%,0.0%
Total,31.6%,34.2%
