List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,76.7%,76.7%
r10,40.0%,0.0%
r21,0.0%,25.0%
r34,22.9%,37.1%
r4,10.0%,20.0%
r33,100.0%,0.0%
r12,40.0%,6.7%
r13,45.7%,45.7%
r6,71.4%,71.4%
r29,32.7%,36.5%
r3,13.3%,20.0%
r24,2.5%,0.0%
r32,96.7%,96.7%
r16,33.3%,33.3%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,10.0%,23.3%
r11,48.9%,31.1%
r27,4.0%,4.0%
r5,27.5%,42.5%
r17,0.0%,3.3%
r19,100.0%,0.0%
r8,80.0%,83.3%
r1,70.0%,70.0%
r30,3.3%,16.7%
r22,9.5%,4.8%
r26,60.0%,60.0%
r9,100.0%,0.0%
r14,46.7%,20.0%
r2,45.0%,30.0%
r20,52.5%,27.5%
r15,16.7%,66.7%
Total,42.8%,34.3%
