List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,76.7%,76.7%
r10,20.0%,40.0%
r21,100.0%,0.0%
r34,11.4%,11.4%
r4,0.0%,20.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,54.3%,40.0%
r6,57.1%,57.1%
r29,17.3%,32.7%
r3,6.7%,6.7%
r24,15.0%,7.5%
r32,96.7%,0.0%
r16,36.7%,36.7%
r28,24.4%,24.4%
r25,83.3%,3.3%
r23,16.7%,11.1%
r18,23.3%,23.3%
r11,31.1%,24.4%
r27,96.0%,96.0%
r5,42.5%,27.5%
r17,6.7%,3.3%
r19,0.0%,17.6%
r8,86.7%,86.7%
r1,70.0%,70.0%
r30,30.0%,6.7%
r22,2.4%,2.4%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,24.4%,17.8%
r2,45.0%,25.0%
r20,20.0%,20.0%
r15,10.0%,66.7%
Total,36.9%,33.5%
