List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,31.4%,0.0%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,36.7%,36.7%
r13,8.6%,5.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,0.0%
r24,2.5%,27.5%
r32,100.0%,100.0%
r16,50.0%,0.0%
r28,37.8%,37.8%
r25,23.3%,3.3%
r23,0.0%,0.0%
r18,16.7%,16.7%
r11,13.3%,15.6%
r27,96.0%,96.0%
r5,0.0%,27.5%
r17,10.0%,6.7%
r19,100.0%,100.0%
r8,0.0%,0.0%
r1,70.0%,0.0%
r30,40.0%,36.7%
r22,4.8%,16.7%
r26,6.7%,40.0%
r9,0.0%,0.0%
r14,46.7%,48.9%
r2,0.0%,45.0%
r20,17.5%,5.0%
r15,26.7%,0.0%
Total,26.7%,25.5%
