List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,5.7%,57.1%
r4,20.0%,70.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,51.4%,48.6%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,0.0%,73.3%
r24,2.5%,2.5%
r32,0.0%,100.0%
r16,46.7%,6.7%
r28,0.0%,24.4%
r25,46.7%,43.3%
r23,0.0%,0.0%
r18,3.3%,3.3%
r11,11.1%,2.2%
r27,0.0%,96.0%
r5,2.5%,27.5%
r17,6.7%,0.0%
r19,100.0%,0.0%
r8,86.7%,0.0%
r1,70.0%,0.0%
r30,30.0%,13.3%
r22,0.0%,2.4%
r26,0.0%,26.7%
r9,0.0%,0.0%
r14,68.9%,68.9%
r2,47.5%,17.5%
r20,55.0%,37.5%
r15,30.0%,16.7%
Total,30.2%,34.6%
