List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,0.0%,13.3%
r13,11.4%,48.6%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,43.3%,0.0%
r28,33.3%,42.2%
r25,20.0%,0.0%
r23,5.6%,5.6%
r18,20.0%,3.3%
r11,20.0%,6.7%
r27,96.0%,0.0%
r5,0.0%,25.0%
r17,0.0%,53.3%
r19,0.0%,0.0%
r8,93.3%,90.0%
r1,73.3%,70.0%
r30,33.3%,40.0%
r22,11.9%,14.3%
r26,20.0%,13.3%
r9,27.3%,0.0%
r14,60.0%,0.0%
r2,50.0%,5.0%
r20,57.5%,40.0%
r15,0.0%,0.0%
Total,32.0%,29.7%
