List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,76.7%,76.7%
r10,40.0%,40.0%
r21,0.0%,100.0%
r34,68.6%,65.7%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,6.7%
r13,42.9%,42.9%
r6,51.4%,91.4%
r29,34.6%,5.8%
r3,6.7%,13.3%
r24,5.0%,15.0%
r32,96.7%,96.7%
r16,13.3%,40.0%
r28,24.4%,57.8%
r25,83.3%,3.3%
r23,5.6%,16.7%
r18,23.3%,20.0%
r11,48.9%,24.4%
r27,100.0%,100.0%
r5,5.0%,30.0%
r17,6.7%,3.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,70.0%
r30,0.0%,3.3%
r22,31.0%,33.3%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,44.4%,53.3%
r2,42.5%,42.5%
r20,0.0%,65.0%
r15,76.7%,76.7%
Total,38.8%,45.2%
