List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,26.7%,73.3%
r10,40.0%,20.0%
r21,100.0%,0.0%
r34,48.6%,51.4%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,100.0%,40.0%
r6,51.4%,40.0%
r29,90.4%,90.4%
r3,13.3%,13.3%
r24,20.0%,7.5%
r32,96.7%,96.7%
r16,20.0%,6.7%
r28,57.8%,42.2%
r25,80.0%,80.0%
r23,22.2%,5.6%
r18,20.0%,20.0%
r11,24.4%,24.4%
r27,96.0%,0.0%
r5,25.0%,27.5%
r17,13.3%,30.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,90.0%,90.0%
r30,0.0%,6.7%
r22,9.5%,21.4%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,40.0%,2.2%
r2,95.0%,52.5%
r20,72.5%,22.5%
r15,80.0%,53.3%
Total,52.3%,41.2%
