List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,26.7%
r10,40.0%,40.0%
r21,100.0%,75.0%
r34,57.1%,0.0%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,23.3%,26.7%
r13,94.3%,94.3%
r6,94.3%,0.0%
r29,0.0%,100.0%
r3,20.0%,6.7%
r24,2.5%,7.5%
r32,0.0%,0.0%
r16,33.3%,46.7%
r28,42.2%,57.8%
r25,83.3%,83.3%
r23,38.9%,0.0%
r18,20.0%,0.0%
r11,73.3%,22.2%
r27,96.0%,0.0%
r5,55.0%,25.0%
r17,3.3%,30.0%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,0.0%,96.7%
r30,0.0%,23.3%
r22,4.8%,9.5%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,53.3%,0.0%
r2,32.5%,62.5%
r20,27.5%,47.5%
r15,0.0%,93.3%
Total,39.0%,36.6%
