List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,3.3%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,27.5%
camera,0.0%
picture,53.3%
popup,10.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,3.3%
calendar,90.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,32.1%
