List,gaussian_mixture,kmeans
r31,83.3%,16.7%
r7,76.7%,76.7%
r10,60.0%,0.0%
r21,0.0%,0.0%
r34,28.6%,25.7%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,77.1%,5.7%
r6,91.4%,51.4%
r29,96.2%,5.8%
r3,6.7%,6.7%
r24,15.0%,25.0%
r32,23.3%,100.0%
r16,20.0%,20.0%
r28,6.7%,24.4%
r25,83.3%,83.3%
r23,16.7%,11.1%
r18,36.7%,46.7%
r11,17.8%,55.6%
r27,96.0%,96.0%
r5,20.0%,20.0%
r17,13.3%,3.3%
r19,0.0%,0.0%
r8,76.7%,73.3%
r1,0.0%,86.7%
r30,0.0%,3.3%
r22,9.5%,14.3%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,11.1%,2.2%
r2,0.0%,0.0%
r20,25.0%,25.0%
r15,63.3%,63.3%
Total,39.4%,37.6%
