List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,31.4%,14.3%
r4,0.0%,30.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,6.7%,6.7%
r24,27.5%,22.5%
r32,0.0%,0.0%
r16,3.3%,40.0%
r28,100.0%,0.0%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,16.7%,13.3%
r11,26.7%,31.1%
r27,96.0%,96.0%
r5,30.0%,0.0%
r17,0.0%,3.3%
r19,0.0%,0.0%
r8,63.3%,80.0%
r1,73.3%,70.0%
r30,16.7%,26.7%
r22,7.1%,4.8%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,13.3%,6.7%
r2,0.0%,0.0%
r20,47.5%,20.0%
r15,0.0%,56.7%
Total,44.0%,40.2%
