List,gaussian_mixture,kmeans
r31,100.0%,100.0%
r7,23.3%,23.3%
r10,20.0%,0.0%
r21,75.0%,75.0%
r34,14.3%,17.1%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,13.3%,43.3%
r13,65.7%,20.0%
r6,91.4%,91.4%
r29,90.4%,28.8%
r3,6.7%,6.7%
r24,25.0%,22.5%
r32,100.0%,100.0%
r16,16.7%,40.0%
r28,66.7%,42.2%
r25,83.3%,83.3%
r23,5.6%,11.1%
r18,30.0%,30.0%
r11,73.3%,0.0%
r27,0.0%,96.0%
r5,25.0%,25.0%
r17,16.7%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,13.3%,73.3%
r30,13.3%,10.0%
r22,7.1%,7.1%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,15.6%,4.4%
r2,30.0%,35.0%
r20,45.0%,45.0%
r15,6.7%,83.3%
Total,43.2%,40.5%
