List,gaussian_mixture,kmeans
r31,100.0%,83.3%
r7,23.3%,23.3%
r10,40.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,17.1%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,16.7%
r13,5.7%,65.7%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,6.7%,0.0%
r24,12.5%,10.0%
r32,100.0%,100.0%
r16,26.7%,30.0%
r28,53.3%,53.3%
r25,83.3%,83.3%
r23,16.7%,16.7%
r18,13.3%,26.7%
r11,31.1%,24.4%
r27,96.0%,96.0%
r5,12.5%,27.5%
r17,3.3%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,13.3%
r30,10.0%,6.7%
r22,2.4%,7.1%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,15.6%,11.1%
r2,60.0%,40.0%
r20,25.0%,45.0%
r15,93.3%,93.3%
Total,44.0%,44.2%
