List,gaussian_mixture,kmeans
r31,100.0%,100.0%
r7,23.3%,0.0%
r10,0.0%,20.0%
r21,75.0%,75.0%
r34,8.6%,8.6%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,43.3%,40.0%
r13,77.1%,14.3%
r6,97.1%,94.3%
r29,90.4%,90.4%
r3,6.7%,6.7%
r24,12.5%,12.5%
r32,20.0%,76.7%
r16,40.0%,43.3%
r28,66.7%,66.7%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,26.7%,3.3%
r11,95.6%,95.6%
r27,96.0%,0.0%
r5,7.5%,22.5%
r17,16.7%,6.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,6.7%,70.0%
r30,20.0%,16.7%
r22,2.4%,2.4%
r26,60.0%,40.0%
r9,0.0%,100.0%
r14,20.0%,15.6%
r2,32.5%,30.0%
r20,0.0%,80.0%
r15,0.0%,0.0%
Total,38.2%,40.8%
