List,gaussian_mixture,kmeans
r31,66.7%,0.0%
r7,0.0%,0.0%
r10,0.0%,60.0%
r21,0.0%,75.0%
r34,17.1%,8.6%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,23.3%
r13,51.4%,51.4%
r6,91.4%,0.0%
r29,34.6%,5.8%
r3,0.0%,6.7%
r24,15.0%,12.5%
r32,76.7%,76.7%
r16,36.7%,6.7%
r28,24.4%,28.9%
r25,83.3%,0.0%
r23,5.6%,5.6%
r18,23.3%,6.7%
r11,24.4%,22.2%
r27,96.0%,0.0%
r5,27.5%,45.0%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,66.7%,70.0%
r1,66.7%,23.3%
r30,10.0%,6.7%
r22,9.5%,0.0%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,8.9%,2.2%
r2,32.5%,35.0%
r20,0.0%,42.5%
r15,0.0%,70.0%
Total,35.1%,25.6%
