List,gaussian_mixture,kmeans
r31,0.0%,100.0%
r7,23.3%,23.3%
r10,40.0%,0.0%
r21,75.0%,0.0%
r34,34.3%,34.3%
r4,20.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,3.3%
r13,97.1%,0.0%
r6,91.4%,91.4%
r29,94.2%,9.6%
r3,13.3%,0.0%
r24,5.0%,25.0%
r32,100.0%,96.7%
r16,6.7%,3.3%
r28,95.6%,95.6%
r25,83.3%,6.7%
r23,5.6%,27.8%
r18,10.0%,30.0%
r11,31.1%,24.4%
r27,96.0%,96.0%
r5,5.0%,27.5%
r17,10.0%,16.7%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,0.0%,3.3%
r30,3.3%,3.3%
r22,2.4%,9.5%
r26,60.0%,0.0%
r9,0.0%,0.0%
r14,0.0%,4.4%
r2,50.0%,32.5%
r20,20.0%,0.0%
r15,83.3%,60.0%
Total,43.1%,31.4%
