List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,20.0%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,16.7%,16.7%
r13,97.1%,97.1%
r6,20.0%,91.4%
r29,90.4%,90.4%
r3,6.7%,20.0%
r24,12.5%,12.5%
r32,100.0%,100.0%
r16,40.0%,36.7%
r28,28.9%,91.1%
r25,10.0%,83.3%
r23,5.6%,5.6%
r18,10.0%,3.3%
r11,22.2%,31.1%
r27,96.0%,96.0%
r5,37.5%,2.5%
r17,23.3%,23.3%
r19,0.0%,0.0%
r8,80.0%,3.3%
r1,73.3%,70.0%
r30,0.0%,3.3%
r22,2.4%,4.8%
r26,60.0%,40.0%
r9,100.0%,0.0%
r14,0.0%,6.7%
r2,32.5%,10.0%
r20,5.0%,45.0%
r15,63.3%,0.0%
Total,38.6%,41.3%
