List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,23.3%,76.7%
r10,60.0%,0.0%
r21,75.0%,75.0%
r34,14.3%,17.1%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,71.4%,14.3%
r6,71.4%,71.4%
r29,96.2%,96.2%
r3,13.3%,0.0%
r24,15.0%,5.0%
r32,100.0%,100.0%
r16,3.3%,36.7%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,11.1%,11.1%
r18,23.3%,26.7%
r11,55.6%,17.8%
r27,0.0%,0.0%
r5,10.0%,2.5%
r17,3.3%,13.3%
r19,100.0%,100.0%
r8,3.3%,3.3%
r1,86.7%,13.3%
r30,30.0%,30.0%
r22,7.1%,7.1%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,6.7%,28.9%
r2,60.0%,60.0%
r20,47.5%,47.5%
r15,26.7%,63.3%
Total,45.0%,44.0%
