List,gaussian_mixture,kmeans
r31,66.7%,16.7%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,28.6%
r4,0.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,85.7%,82.9%
r6,91.4%,5.7%
r29,84.6%,84.6%
r3,6.7%,6.7%
r24,30.0%,25.0%
r32,96.7%,3.3%
r16,53.3%,23.3%
r28,95.6%,95.6%
r25,0.0%,83.3%
r23,5.6%,11.1%
r18,3.3%,26.7%
r11,31.1%,42.2%
r27,96.0%,96.0%
r5,37.5%,47.5%
r17,23.3%,16.7%
r19,0.0%,0.0%
r8,60.0%,20.0%
r1,86.7%,86.7%
r30,6.7%,3.3%
r22,7.1%,4.8%
r26,40.0%,40.0%
r9,100.0%,100.0%
r14,13.3%,13.3%
r2,35.0%,35.0%
r20,5.0%,27.5%
r15,90.0%,0.0%
Total,45.3%,37.9%
