List,dec
text+button,22.2%
popup_with_access,30.0%
text_only,6.7%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,94.3%
advertisement+button,0.0%
image_list,64.4%
popup_date,0.0%
movie,3.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,40.0%
dialer,6.7%
translate,92.0%
image_view,25.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,25.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,0.0%
camera,57.5%
picture,0.0%
popup,46.7%
navigation_menu,4.4%
input_form,3.3%
select_dialog,53.3%
calendar,3.3%
text_image,3.3%
continue_button,9.5%
theme,18.2%
homescreen,0.0%
Total,32.1%
