List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,26.7%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,60.0%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,50.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,5.0%
camera,0.0%
picture,53.3%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,16.7%
calendar,90.0%
text_image,3.3%
continue_button,11.9%
theme,0.0%
homescreen,0.0%
Total,27.7%
