List,dec
text+button,0.0%
popup_with_access,3.3%
text_only,20.0%
open_with,22.2%
text_empty,30.0%
share_with,94.2%
list+on_off,88.6%
advertisement+button,27.5%
image_list,2.2%
popup_date,0.0%
movie,23.3%
menu_list,85.7%
translate_with_sound,100.0%
IME,0.0%
dialer,20.0%
translate,0.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,2.5%
camera,80.0%
picture,0.0%
popup,3.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,0.0%
calendar,60.0%
text_image,16.7%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,26.9%
