List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,5.0%,20.0%
r32,0.0%,76.7%
r16,40.0%,26.7%
r28,97.8%,73.3%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,13.3%,0.0%
r11,42.2%,31.1%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,33.3%,16.7%
r19,0.0%,0.0%
r8,66.7%,63.3%
r1,70.0%,70.0%
r30,0.0%,0.0%
r22,0.0%,4.8%
r26,40.0%,0.0%
r9,100.0%,0.0%
r14,24.4%,22.2%
r2,97.5%,95.0%
r20,0.0%,42.5%
r15,90.0%,90.0%
Total,48.6%,47.5%
