List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,25.7%,57.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,97.1%
r29,96.2%,100.0%
r3,0.0%,0.0%
r24,10.0%,5.0%
r32,0.0%,0.0%
r16,36.7%,13.3%
r28,100.0%,97.8%
r25,83.3%,83.3%
r23,0.0%,22.2%
r18,6.7%,6.7%
r11,42.2%,31.1%
r27,96.0%,100.0%
r5,0.0%,5.0%
r17,26.7%,33.3%
r19,0.0%,0.0%
r8,80.0%,0.0%
r1,70.0%,0.0%
r30,0.0%,0.0%
r22,0.0%,0.0%
r26,60.0%,40.0%
r9,0.0%,100.0%
r14,24.4%,0.0%
r2,95.0%,95.0%
r20,42.5%,47.5%
r15,0.0%,90.0%
Total,43.4%,46.0%
