List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,0.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,15.0%,12.5%
r32,76.7%,76.7%
r16,36.7%,36.7%
r28,71.1%,0.0%
r25,83.3%,83.3%
r23,22.2%,11.1%
r18,0.0%,20.0%
r11,55.6%,31.1%
r27,100.0%,100.0%
r5,0.0%,0.0%
r17,36.7%,33.3%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,70.0%,70.0%
r30,0.0%,20.0%
r22,0.0%,0.0%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,95.0%,95.0%
r20,42.5%,20.0%
r15,90.0%,0.0%
Total,49.3%,40.8%
