List,gaussian_mixture,kmeans
r31,0.0%,100.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,91.4%
r6,94.3%,91.4%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,12.5%,2.5%
r32,76.7%,0.0%
r16,33.3%,33.3%
r28,73.3%,71.1%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,6.7%
r11,31.1%,42.2%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,23.3%,10.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,16.7%,30.0%
r22,0.0%,0.0%
r26,0.0%,0.0%
r9,0.0%,0.0%
r14,0.0%,22.2%
r2,95.0%,97.5%
r20,42.5%,0.0%
r15,90.0%,90.0%
Total,48.3%,45.2%
